Unnamed: 0,sentence,sentence_length
16037,He will be moving out of The old house on Thursday,40
13594,California wildfire forces evacuation of homes university,51
9570,A black and wood colored dining room set in a small apartment,50
9576,The brown dog is resting his head on a white pillow,41
10706,A group of teenagers jumping and having a good time,42
8876,Pope Francis condemns global indifference to suffering,48
13570,Russian meteorite leaves building gaping open,40
5436,We donated wire for the convicts to build cages with,43
6604,A puppy is repeatedly rolling from side to side while on its back,53
13690,US sprinter Tyson Gay tests positive for banned substance,49
13271,Five million citizens get unofficial salary in Ukraine,47
1236,The perception of the problem is quite thorough,40
9348,Taiwan coast guard launches new ships as South China Sea tensions rise,59
9361,US military says it conducts airstrikes against IS in Syria Iraq,54
7578,A girl in a pink dress rides her bike along a white picket fence,51
14782,It is fairly simple to understand somewhat harder to referee,51
1161,We proved Smith conclusively to the authorities to be the thief,53
1294,These stories about himself worry John more than anything else,53
9692,A boy skateboards down the railing of some graffiti stairs,49
8472,Google CEO says Android important not critical,40
14004,Boston bombing suspect was under FBI surveillance says mother,53
13069,dozens of such criminals have been hanged in public,43
12834,And several Senate Republicans are cranky about the House map,52
13706,Angelina Jolie and the complex truth about breast cancer,48
14692,This is an example I always find is helpful for first year,47
1522,What it is certain that he was wearing is this hat,40
8844,Three feared dead after helicopter crashes into pub,44
11000,Canada approves oil pipeline to the Pacific Coast,42
4988,There appears to be a problem with this solution,40
4258,Susan found every book she had been looking for at Borders,48
13357,Storm lashes Florida delaying Republican convention,46
7273,The large brown and white dog is running through the snow,47
3137,Lee voted for Bill because his father told him to,40
13177,UN monitors shot at on way to Syrian massacre site,41
7951,He also could be barred permanently from the securities industry,55
3177,Never have I stolen from any members of your family,42
12135,A group of people are standing around a red fire truck,44
4285,John gave the books to Mary and the records to Sue,40
5606,They realised that never had Sir Thomas been so offended,47
14421,Two men in fleeces and hats looking at the camera,40
8188,additional individuals and entities are subject to an assets freeze,58
13935,Syrian opposition confirms participation in peace talks,49
8740,Critical Gates memoir rocks Obama administration,43
14895,Israel blames Iran for attacks on its diplomats,40
10152,US senators penalize Pakistan for jailing doctor who aided CIA,53
2218,That the clown had a red nose amused the children,40
4346,This very heavy parcel was delivered yesterday,40
8534,Penn State football players react to sanctions,40
3372,They denied the claim that we had advanced by ourselves,46
8452,South Sudan accuses Sudan of bombings ahead of talks,44
10052,No there is no specific criteria for giving the man of the match award,57
14077,Italian President Napolitano elected for second term,46
9569,A small red and gray bird perched amongst the bare branches of a tree,56
3365,The official to whom Smith loaned the money has been indicted,51
9036,Janet Yellen to become first woman to lead the Federal Reserve,52
13015,iran insists that its nuclear program is for peaceful purposes,53
8326,Suicide bombing rocks elite Yemen military camp,41
8603,German parliament overwhelmingly backs Greek rescue deal,50
10162,Israeli Leader Puts Off Evicting Settlers From Hebron House,51
15547,You could probably get a tour agency to do it for you but it would cost you,59
12417,A person standing on a stage in front of a seated crowd,44
7053,A black cow and a brown cow stands in a plain in front of an uprooted tree,58
12056,A boat is in the water and a small airplane is on the dock,45
12271,Three girls holding umbrellas with their backs to the camera,51
12285,The dog is running with a yellow ball in his mouth,40
11868,The jockey is wearing purple and riding a brown horse,44
4509,Eleanor and Marianne travelled from Shropshire,41
14974,Chinese president arrives in Argentina for state visit,47
14658,There is no implication about Tom whatsoever in such a sentence,53
12059,A dog sitting on a yellow chair next to a green dumpster,45
13641,Pakistani girl shot by Taliban appears on video,40
13705,Costa Concordia survivors detail experience one year later,51
12431,A young boy is twisting a sparkler around in the air,42
10587,A black and tan dog standing in a field near trees,40
6908,Feet standing on a pretty day with large building in background,53
8362,Gusmao consolidates power in East Timor elections,43
1272,Exactly half of the students attended some seminar,43
9652,The couple is sitting near the water in lawn chairs,42
12046,A small kitchen with items stacked on the shelves and on the counter,56
8606,Heavy fighting rocks eastern Syria ahead of poll,41
7229,A woman in a black shirt stands in front of bananas at a fruit stand,54
11336,A woman is pouring ingredients into a frying pan,40
15474,One idea is cleaning the coffee residue from the coffee pot,49
12281,A woman wearing a black and blue striped suit is surfing on a wave,53
15185,a dog on the floor of a patio looks at a cat on the fence,43
5527,The rules require that the executives be polite,40
9718,A seated young woman in a hat is reading at a coffee shop,45
602,He often experiments with new flavors in cooking,41
12764,Moore did not have an immediate response Tuesday,41
7299,Two large black dogs are playing in a grassy field,41
4230,Every woman who heard the news contributed to the fund,45
8789,Australia to scrap soaring national debt ceiling,42
5349,Aphrodite wanted Hera to persuade Athena to leave,42
4665,This girl in the red coat will eat her breakfast before tomorrow,53
1264,Some professor admires every student and hates the dean,47
7285,A white dog runs through a field of yellow flowers,41
13326,Fitch restores Ford credit to investment grade,40
6909,A small white dog chews on a twig while lying on a wooden deck,49
15741,Two French journalists abducted killed in Northern Mali,48
13384,US Canadian imams issue fatwa against honour killings,46
13925,Russia convicts dead lawyer Magnitsky in posthumous trial,50
3472,It was with a great deal of regret that I vetoed your proposal,50
14786,I am too a hobby swimmer but as part of my triathlon training,49
3465,I wonder in which pocket it was that Kim had hidden the jewels,50
14756,There are three main factors that drive the low shadow economy in the US,59
13766,Police arrest suspect in deadly LA driving attack,42
12605,Ergo it offends me when Thatcherites call themselves libertarian,56
7006,A mallard and a tame white duck on the grass near water,44
12097,a brown and white dog jumping over a red and yellow pole,45
15691,Queen Beatrix of the Netherlands abdicates in favour of son,50
6201,An elderly woman is pouring oil into a frying pan,40
4719,For the girl to put a picture there is what I prefer,41
2727,They would inform Mary of any success they have made,43
12459,Two mountain climbers stand on the top of a mountain looking around,56
5631,It was from six to nine or it took place from six to nine,44
1581,There were several hundred people yelling for me to put down gently,56
8529,UN Chief Finds His Voice Remains Cautious on China,42
1265,Everyone reported that Max and some lady disappeared,45
8827,Mumbai photojournalist gangrape case cracked five accused arrested,59
11972,A small child sits on a cement wall near white flower,43
15779,I poured water from the bottle into the cup until it was empty,50
15861,Carol believed that Rebecca regretted that she had stolen the watch,57
8668,Mexican singer Jenni Rivera believed killed in plane crash,50
10237,Egypt arrests Muslim Brotherhood leader Badie,40
709,She enjoys learning to play new musical instruments,44
4974,Which book about herself did Jenny say that Anson had written,51
576,He spends weekends volunteering at the shelter,40
1235,John bought the picture of himself that Bill saw,40
7045,A group of people sitting around a table containing food,47
4166,Frank will eat an apple and Morgan will eat an apple too,45
856,The knee replacement candidate groaned up the stairs,45
13277,Russian Orthodox Church rallies faithful after criticism,50
12332,A person is riding a dirt bike in a race on a dirt track,43
7528,A swimmer is doing the backstroke in the swimming pool,45
9009,Syria envoy says no peace talks without opposition,43
3620,Hilda is such a scholar that all her work is impeccable,45
5572,the one with a red cover takes a very long time to read,43
3656,The Joneses think themselves the best family on the block,48
13708,White House defense firms discuss automatic spending cuts,50
15085,A man and a woman are hugging and kissing each other,42
15235,A white and grey cat in a bathroom sink looking at the camera,49
7685,So YES we DO read the bible to learn about Christianity,45
14819,The study appears today in the New England Journal of Medicine,52
16477,The lamplight made the kitchen seem even warmer,40
7573,A man in a blue cap is sitting on a stool under a tree,41
10261,Senate confirms Janet Yellen as chair of US Federal Reserve,50
9270,Driver backs into stroller with child drives off,41
12520,The tan dog is carrying a green squeak toy in its mouth,44
14981,Colorado governor visits school shooting victim,42
8788,Flooding in Canada forces evacuation of another city,45
2936,John enjoyed drawing trees for his syntax homework,43
4539,It is the garden that the gardener planted with roses,44
11785,A black and white photo of a motorcycle laying on the ground,49
15677,Maldives court issues arrest warrant for former president,50
14074,Spanish government approves tight restrictions on abortion,52
14644,There are many arguments for why this is not the case,43
15730,Russia detains suspected Islamist militants in Moscow raid,51
14879,Russia China veto UN Security Council resolution on Syria,49
9212,US NATO Raise Doubts Russia Pulled Back from Ukraine Border,50
8638,Egypt minister survives assassination attempt,41
9984,I have seen cats not like using the litterbox for a variety of reasons,57
12779,The PCs are scattered across the United States Canada and South Korea,58
11720,A woman is walking along a road and a man in a motorcar pulls up beside her,59
11699,Two women are sitting close to each other and talking,44
1320,I found to be delicious some fruit which I picked up on the way home,54
2939,We need to be in frequent contact with the clients,41
10953,Annan to visit Syrian refugees in Turkey Tuesday,41
6949,Someone standing on a snowy mountain watching a plane,45
1506,Romeo conceded that he and Juliet were going steady,43
8502,Russia jails Pussy Riot protest punks for two years,43
7118,View of a living room with a dining room in the background,47
13257,Bahrain court upholds sentences against uprising leaders,50
15522,Work with your supervisor and your team to solve the problem,50
8647,Hundreds of Bangladesh clothes factory workers ill,44
3237,I assume the matter to have been filed in the appropriate records,54
5225,Alison and David soaked their feet in the kitchen,41
8693,Narendra Modi pledges tough stand against Pakistan,44
13215,Plastic artist calls for greater support for new talents,48
7291,A man in a white suit walks down the street holding a newspaper,51
14043,Starbucks clears college degree path for workers,42
4395,That Anne was in conversation with Mr Elliott dismayed Captain,53
12927,Several shots rang out Wednesday night but no gators were killed then,58
3322,I met the critic whose remarks I wanted to object to,42
15115,A woman is scrubbing a zucchini with a vegetable brush,45
9862,The religious people are enjoying the outdoors,40
10049,I can think of three key factors that are quite logical conjectures,56
6967,A black and white photo of a glass bottle of Coca Cola,43
9932,I think it is still feasible to store seeds until the next year,51
1580,There was a snake behind the car the time bomb was sitting in,49
14015,Pakistans Imran blames rival for killing party member,46
5443,Nobody who hates to eat anything should work in a delicatessen,52
7252,Three children and playing and laughing on the floor,44
4282,The Dodgers beat the Red Sox and the Dodgers were beaten by the Giants,57
14933,London Marathon observes silence for Boston victims,45
13276,Chinese president concludes state visit to Denmark,44
4524,Captain Oates died in order to save his comrades,40
14068,Hamas calls on Hezbollah to pull forces out of Syria,43
15672,Venezuelans urged to vote in presidential election,44
15801,Madonna fired her trainer because she slept with her boyfriend,53
4265,John talked to anybody who came up to him at the party,43
4419,Because of the strike the commuters travelled by army lorry,50
9272,Senate confirms Obama nominee to key appeals court,43
8687,Israel strikes Syria as tensions rise on weapons,41
7463,A dog wearing a green sweater and a backpack walking on snow,49
15166,A ginger and white cat curled up and asleep on a leather chair,50
10841,Also it is useful to keep the consistency in your story,45
13780,US Coast Guard suspends search for missing British sailors,50
10005,I have found there is no single best way to increase size,46
7816,I missed the point where he said that black people were going to riot,56
9089,Argentina declares mourning for flood victims,40
9185,Syrian opposition agree to landmark peace talks,41
15423,The man is getting his boat clean to take it out on the water,48
7761,Jury nullification does not mean that a law is unconstuitutional,55
10993,Ukraine protest leaders name ministers Russian troops on alert,54
5680,It was believed by everybody that Mary was a thief,41
583,We enjoy listening to podcasts during road trips,41
9267,Assad says Syria will comply with UN arms resolution,44
10728,Two workers are sitting next to pipes eating lunch,42
7253,A man sits with fishing poles near a body of water,40
9676,The white and brown dog is running quickly through the grass,50
16481,He was afraid the stable boys at the Burlington Stables struck at Mark,58
15347,The woman is jumping a long distance while people watch,46
6837,A woman posing in front of an apartment building in the snow,49
14282,A person is pouring olive oil into a pot on the stove,42
12219,a man in a black shirt is roller blading past a bench in the city,51
14830,The Maine program could be a model for other states,42
4169,Calvin will strike himself and Otto will strike himself too,50
12120,A man going over a jump on his bike with a river in the background,52
3261,The house has been lived in by several famous personages,47
3947,Heidi thinks that the salmon flavored candy bars were eaten,50
12049,A women riding a mountain bike on a large concrete area,45
3896,John put the book on the table with a pair of tongs,40
