Unnamed: 0,sentence,sentence_length
0,The cat sat on the mat,17
1,I saw a bird fly by,14
2,The sun is shining bright,21
3,He loves reading books,19
4,She baked a delicious pie,21
5,We walked down to the park,21
6,The dog barked all night long,24
7,He drove the car very fast,21
8,The tree was incredibly tall,24
9,She wore a bright red dress,22
10,They traveled across the sea,24
11,He enjoys playing the guitar,24
12,I left my keys at home,17
13,The coffee was too hot to drink,25
14,She teaches art to children,23
15,He lost his way in the forest,23
16,The computer suddenly froze,24
17,I love the taste of apples,21
18,The moon shone brightly above,25
19,They danced under the stars,23
20,She writes poetry in her free time,28
21,He enjoys hiking in the mountains,28
22,The river flows through the valley,29
23,We heard the sound of thunder,24
24,She painted a beautiful sunset,26
25,The flowers bloomed in spring,25
26,He fixed the broken window,22
27,The clock struck midnight,22
28,We saw dolphins near the shore,25
29,She bought a new phone yesterday,27
30,The kids played in the backyard,26
31,He cooked pasta for dinner,22
32,The airplane flew over the city,26
33,I found a hidden treasure chest,26
34,She gave a heartfelt speech,23
35,The snow covered the streets,24
36,He watched the stars at night,24
37,We climbed to the top of the hill,26
38,The candle flickered in the wind,27
39,She enjoys reading mystery novels,29
40,The music played softly in the background,35
41,He won the race by a second,21
42,The wind blew through the trees,26
43,She created a beautiful sculpture,29
44,He caught a fish in the river,23
45,The rain poured down all day,23
46,She wore a warm coat in winter,24
47,He repaired the old bicycle,23
48,The baby smiled at her mother,24
49,We visited the art museum yesterday,30
50,The leaves rustled in the breeze,27
51,She made a necklace from beads,25
52,He ran faster than anyone else,25
53,The sun set behind the mountains,27
54,We built a sandcastle on the beach,28
55,She sketched a picture of a horse,27
56,He practiced playing the piano,26
57,The stars twinkled in the sky,24
58,We hiked through the forest trail,28
59,She learned to knit last week,24
60,He brewed a fresh pot of coffee,25
61,The train arrived at the station,27
62,They shared a chocolate cake,24
63,The wind howled through the night,28
64,She sewed a quilt for her bed,23
65,He rode his bike to school,21
66,The ocean waves crashed against the shore,35
67,She danced gracefully on stage,26
68,He solved the puzzle quickly,24
69,We explored the ancient ruins,25
70,The cat curled up by the fire,23
71,She decorated the room with flowers,30
72,He bought a new guitar online,24
73,The moonlit path was serene,23
74,We saw the fireworks from afar,25
75,She wrote a letter to her friend,26
76,He painted the fence green,22
77,The storm caused a power outage,26
78,We cooked dinner together tonight,29
79,She taught me how to bake bread,25
80,He planted trees in the garden,25
81,The sunset filled the sky with colors,31
82,We watched the clouds roll by,24
83,She sang a beautiful melody,23
84,He built a birdhouse for the yard,27
85,The waterfall roared in the distance,31
86,We saw deer near the forest edge,26
87,She cleaned the house thoroughly,28
88,He discovered a new star,20
89,The wind carried the scent of flowers,31
90,She studied for her exam all day,26
91,He played a game of chess with me,26
92,The dog wagged its tail happily,26
93,We enjoyed a picnic in the park,25
94,She knitted a scarf for her sister,28
95,He invented a clever solution,25
96,The mountain view was breathtaking,30
97,We spent the afternoon fishing,26
98,She planted roses in the garden,26
99,He crafted a wooden chair by hand,27
100,The fog covered the entire valley,28
101,We heard the birds sing at dawn,25
102,She mastered the violin last year,28
103,He saved a kitten from a tree,23
104,The fire crackled in the fireplace,29
105,We played cards late into the night,29
106,She wrote her name in the sand,24
107,He built a treehouse for his kids,27
108,The lake was calm and peaceful,25
109,We rode horses along the trail,25
110,She baked cookies for the party,26
111,He captured a stunning photograph,29
112,The boat sailed across the lake,26
113,We heard the distant sound of music,29
114,She enjoys gardening on weekends,28
115,He studied astronomy as a hobby,26
116,The beach was crowded with people,28
117,We watched the sunset together,26
118,She played the piano at the recital,29
119,He repaired the old radio last week,29
120,The river reflected the sky above,28
121,We saw a rainbow after the storm,26
122,She trained her dog to fetch,23
123,He wrote a story for the magazine,27
124,The children laughed as they played,30
125,We walked through the golden fields,30
126,She designed a dress for the show,27
127,He built a model airplane,21
128,The birds chirped in the morning,27
129,We spent hours stargazing at night,29
130,She started a new art project,24
131,He fixed the leaky faucet quickly,28
132,The clouds drifted across the sky,28
133,We enjoyed a peaceful morning hike,29
134,She made a scrapbook of memories,27
135,He carved a statue out of stone,25
136,The sunflowers bloomed in the garden,31
137,We shared a bowl of ice cream,23
138,She learned to play the ukulele,26
139,He caught a butterfly in the field,28
140,The waterfall was magnificent,26
141,We sat by the campfire and talked,27
142,She made a homemade birthday cake,28
143,He built a bookshelf from scratch,28
144,The children ran through the sprinklers,34
145,We went on a road trip last summer,27
146,She painted a mural on the wall,25
147,He repaired the roof before winter,29
148,The forest was quiet and serene,26
149,We collected seashells on the beach,30
150,She sewed a patch on her jeans,24
151,He captured the moment in a photo,27
152,The wind carried the scent of rain,28
153,We saw dolphins swimming nearby,27
154,She crafted a bracelet out of beads,29
155,He played his favorite song on the guitar,34
156,The snow covered the mountains,26
157,We explored the cave near the cliffs,30
158,She decorated the house for the holidays,34
159,He fixed the car's engine last month,30
160,The owl hooted in the distance,25
161,We roasted marshmallows by the fire,30
162,She finished knitting a sweater,27
163,He designed a robot for the contest,29
164,The roses bloomed in full color,26
165,We watched the fireworks at midnight,31
166,She created a beautiful painting,28
167,He caught a fish by the lake,22
168,The waves crashed against the rocks,30
169,We spent the day at the amusement park,31
170,She wrote a poem about nature,24
171,He built a boat from wood and nails,28
172,The stars were bright in the sky,26
173,We picked fresh strawberries from the farm,36
174,She baked a loaf of bread for dinner,29
175,He fixed the broken chair yesterday,30
176,The wind blew the leaves around,26
177,We saw the sunrise over the ocean,27
178,She made jewelry from silver wire,28
179,He captured the bird in mid-flight,29
180,The river sparkled in the sunlight,29
181,We heard the sound of the waterfall,29
182,She painted her nails a bright red,28
183,He repaired the fence after the storm,31
184,The flowers were in full bloom,25
185,We watched the rain from the porch,28
186,She designed a new logo for her company,32
187,He played soccer with his friends,28
188,The snowflakes danced in the air,27
189,We explored the woods behind the house,32
190,She wrote a letter to her grandmother,31
191,He carved a pumpkin for Halloween,28
192,The dog chased its tail in circles,28
193,We had a picnic by the lake,21
194,She created a website for her business,32
195,He fixed the computer last night,27
196,The stars twinkled above the mountains,33
197,We sat by the fire and told stories,28
198,She made a batch of cookies for her friends,35
199,He repaired the bicycle in the garage,31
200,The sun rose slowly over the horizon,30
201,We saw an eagle soaring high in the sky,31
202,She decorated her room with fairy lights,34
203,He built a deck in the backyard,25
204,The ocean waves were strong today,28
205,We played frisbee at the park,24
206,She sketched a portrait of her friend,31
207,He wrote a novel in a month,21
208,The kids jumped in the puddles after the rain,37
209,We saw a shooting star last night,27
210,She made a scarf for her mother,25
211,He repaired the TV antenna on the roof,31
212,The boat sailed smoothly across the water,35
213,We hiked to the top of the mountain,28
214,She created a digital painting,26
215,He baked a chocolate cake for the party,32
216,The forest was alive with the sound of birds,36
217,We played a game of hide and seek,26
218,She wrote a song for the school concert,32
219,He built a fort in the living room,27
220,The waves crashed against the pier,29
221,We enjoyed a cup of hot cocoa by the fire,32
222,She learned to speak a new language,29
223,He fixed the kitchen sink last weekend,32
224,The sky was filled with clouds today,30
225,We saw a flock of birds flying south,29
226,She knitted a blanket for her newborn,31
227,He played his favorite video game,28
228,The rain pattered against the window,31
229,We visited a museum last week,24
230,She created a beautiful garden in her yard,35
231,He solved a tricky math problem,26
232,The stars lit up the night sky,24
233,We heard the waves crashing on the shore,33
234,She made a necklace from seashells,29
235,He built a campfire in the woods,26
236,The wind whistled through the trees,30
237,We explored the canyon at dawn,25
238,She sketched a design for her project,31
239,He captured the sunrise on camera,28
240,The leaves changed colors in the fall,31
241,We spent the day at the zoo,21
242,She wrote a story about her adventure,31
243,He fixed the light in the hallway,27
244,The rain cleared and the sun came out,30
245,We saw a rainbow over the mountains,29
246,She learned to play the drums,24
247,He planted sunflowers in the backyard,32
248,The moonlight reflected off the lake,31
249,We listened to the birds sing in the trees,34
250,She designed a new dress for the event,31
251,He wrote a poem about his journey,27
252,The ocean breeze was cool and refreshing,34
253,We watched the sunset from the cliff,30
254,She painted a mural on the school wall,31
255,He repaired the broken fence yesterday,33
256,The stars sparkled like diamonds in the sky,36
257,We played catch with the dog in the yard,32
258,She baked a pie for the neighborhood gathering,39
259,He built a model rocket for the science fair,36
260,The trees swayed in the gentle breeze,31
261,We enjoyed a bonfire on the beach,27
262,She wrote a letter to her best friend,30
263,He designed a new app for his business,31
264,The waves were rough on the open sea,29
265,We played board games all afternoon,30
266,She created a photo album of her trip,30
267,He fixed the lawnmower in the garage,30
268,The flowers bloomed early this year,30
269,We saw a herd of deer in the woods,26
270,She knitted a hat for her friend,26
271,He caught the ball in the outfield,28
272,The snow fell softly all morning,27
273,We went ice skating on the frozen lake,31
274,She baked a cake for her brother’s birthday,36
275,He built a swing set for his children,30
276,The dog chased squirrels around the yard,34
277,We sat on the porch and drank lemonade,31
278,She made a quilt from old clothes,27
279,He repaired the car’s engine last week,32
280,The sky turned pink at sunset,24
281,We took a walk by the river,21
282,She designed a new logo for her business,33
283,He carved a wooden bird for the mantel,31
284,The waves were calm on the lake today,30
285,We watched the stars through a telescope,34
286,She painted a landscape of the mountains,34
287,He built a shed in the backyard,25
288,The rain started to fall as we left,28
289,We saw dolphins swimming in the ocean,31
290,She created a sculpture from clay,28
291,He baked bread for the first time,27
292,The sun set behind the hills,23
293,We spent the weekend camping in the woods,34
294,She learned to ride a bicycle,24
295,He fixed the door hinge yesterday,28
296,The flowers were in full bloom today,30
297,We heard the sound of a distant train,30
298,She wrote a diary entry every night,29
299,He built a fireplace in the living room,32
300,The stars were visible from the hilltop,33
301,We explored the caves by the beach,28
302,She created a new recipe for cookies,30
303,He planted vegetables in the garden,30
304,The rain made the ground muddy,25
305,We played soccer at the park,23
306,She sewed a new dress for the party,28
307,He wrote a letter to his grandfather,30
308,The wind was strong on the mountain,29
309,We saw a whale jump out of the water,28
310,She designed a poster for the event,29
311,He repaired the window after the storm,32
312,The sunflowers reached up to the sky,30
313,We watched the clouds change shapes,30
314,She sketched a picture of her cat,27
315,He built a fence around the yard,26
316,The waves were huge at the beach today,31
317,We spent the afternoon reading in the park,35
318,She baked cupcakes for the bake sale,30
319,He fixed the bicycle chain this morning,33
320,The stars twinkled in the clear sky,29
321,We hiked to a waterfall in the forest,30
322,She made jewelry from colorful beads,31
323,He captured a moment on film,23
324,The snow blanketed the town overnight,32
325,We watched the sun rise over the hills,31
326,She painted her nails a deep red,26
327,He repaired the washing machine last night,36
328,The trees swayed in the autumn breeze,31
329,We picked apples from the orchard,28
330,She wrote a short story about adventure,33
331,He built a bridge over the stream,27
332,The clouds gathered before the storm,31
333,We saw a shooting star in the sky,26
334,She knitted a sweater for her nephew,30
335,He crafted a table out of oak wood,27
336,The ocean breeze was cool and salty,29
337,We spent the day at the farmer’s market,32
338,She created a scrapbook of her travels,32
339,He fixed the kitchen sink last week,29
340,The sun set slowly over the horizon,29
341,We heard the distant call of an owl,28
342,She made a wreath from flowers and leaves,34
343,He built a bookshelf for his study,28
344,The stars twinkled like diamonds above,33
345,We explored a hidden cave on the beach,31
346,She painted a sunset on canvas,25
347,He planted a tree in the front yard,28
348,Today the sun shines brightly,25
349,Books are her greatest passion,26
350,At the beach we built sandcastles,28
351,It feels like a perfect day outside,29
352,Every week he plays soccer with friends,33
353,Cooking dinner is something I enjoy,30
354,Watching movies is their favorite pastime,36
355,In spring flowers bloom beautifully,31
356,Playful cats bring joy to the house,29
357,Great companions are often dogs,27
358,Outside we enjoyed a lovely picnic,29
359,He loves riding his bike around town,30
360,Bright colors fill her paintings with life,36
361,Hiking in nature brings me peace,27
362,The stars twinkle in the clear night sky,33
363,Sweet melodies come from the singing birds,36
364,Waterfalls create a calming atmosphere,34
365,Vintage coins are what he likes to collect,35
366,Dancing fills her heart with joy,27
367,That cake tastes sweeter than expected,33
368,Camping trips are a family favorite,30
369,The gentle breeze feels refreshing,30
370,Stargazing at night is a favorite activity,36
371,For fun she often writes poetry,26
372,Board games are played frequently at home,35
373,The quiet library is my favorite spot,31
374,Computer science is his field of study,32
375,Every day she practices yoga diligently,34
376,The ocean waves crash against the shore,33
377,Landscapes inspire me to paint often,31
378,Traveling to new places excites them,31
379,At sunset the sky is painted beautifully,34
380,Gardening at home brings me joy,26
381,Soft music is what she enjoys listening to,35
382,Mountains rise majestically in the distance,38
383,We share our stories with close friends,33
384,He builds model airplanes with great care,35
385,Baking cookies is her favorite hobby,31
386,The river flows gently through the valley,35
387,Long walks alone are peaceful for me,30
388,Clouds drift lazily across the sky,29
389,On weekends they enjoy playing chess,31
390,Photography is a passion of hers,27
391,Every morning he goes for a run,25
392,Family game night is something we cherish,35
393,Laughter fills the park during weekends,34
394,Exploring new trails is a favorite pastime,36
395,Art history fascinates her greatly,30
396,Documentaries are what he loves to watch,34
397,The cozy coffee shop is a great hangout,32
398,Potluck dinners bring everyone together,35
399,Rain falls softly on the rooftops,28
400,Knitting and crocheting are her relaxing activities,45
401,The sound of rain is incredibly soothing,34
402,Kids fill the playground with energy,31
403,He plays the guitar with incredible talent,36
404,Swimming in summer is refreshing and fun,34
405,Road trips create lasting memories for us,35
406,Amazing exhibits fill the local museum,33
407,Learning new languages is quite rewarding,36
408,Trivia nights are hosted every Thursday,34
409,The fire crackles and pops warmly,28
410,Murals painted on walls tell great stories,36
411,He writes songs that reflect his life,31
412,City parks are great for exploration,31
413,Butterflies flutter around the garden,33
414,Quiet mornings at home are my favorite,32
415,Weekly dance classes keep her active,31
416,Freshly baked bread fills the bakery,31
417,He volunteers at a local shelter weekly,33
418,Celebrating birthdays is a family tradition,38
419,Snow covers everything in a white blanket,35
420,Going to concerts brings her joy,27
421,Silence during meditation is refreshing,35
422,Reflections in the lake are breathtaking,35
423,He enjoys watching wildlife in the park,33
424,Movie marathons are a fun weekend activity,36
425,Music fills the streets during festivals,35
426,Writing fiction is a passion of hers,30
427,Sipping tea at sunset is pure bliss,29
428,Family barbecues create wonderful memories,38
429,The dawn glows beautifully on the horizon,35
430,Acting in plays is her dream come true,31
431,Environmental science interests him greatly,39
432,We often share funny stories around campfires,39
433,The trees whisper secrets in the wind,31
